Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,9999,shirt01.jpg,neutral_007.jpg,3,28,green,T_neu,TNT_scanner,no,52,9999,51,27,53,one,T,33
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,3,34,red,NT_neu,TNT_scanner,no,58,9999,57,33,53,one,NT,34
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,26,25,13,53,one,T,35
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,3,51,green,T_neg,TNT_scanner,no,9999,51,74,38,53,one,T,36
neg,9999,hanger02a.jpg,People_077_vfear.jpg,3,59,red,NT_neg,TNT_scanner,no,9999,59,82,46,53,one,NT,37
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,one,None,38
neu,9999,battery02b.jpg,neutral_509.jpg,3,31,green,T_neu,TNT_scanner,no,55,9999,54,30,53,one,T,39
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,one,None,40
neu,27,tuque03b.jpg,neutral_098.jpg,3,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,53,one,NT,41
neu,9999,birdie.jpg,neutral_614.jpg,3,37,green,T_neu,TNT_scanner,no,61,9999,60,36,53,one,T,42
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,3,50,green,T_neg,TNT_scanner,no,9999,50,73,37,53,one,T,43
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,one,None,44
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,53,one,NT,45
neg,58,globe.jpg,People_201_vsadterror.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,34,33,21,53,one,NT,46
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,53,one,NT,47
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,one,None,48
neu,9999,hinge.jpg,neutral_582.jpg,4,30,green,T_neu,TNT_scanner,no,54,9999,53,29,53,one,T,49
neu,35,chessboard.jpg,neutral_227.jpg,4,9999,red,NT_neu,TNT_scanner,no,35,9999,10,10,53,one,NT,50
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,32,31,19,53,one,NT,51
neu,31,negativefilm.jpg,neutral_192.jpg,4,9999,red,NT_neu,TNT_scanner,no,31,9999,6,6,53,one,NT,52
neu,36,chair.jpg,neutral_144.jpg,4,9999,green,T_neu,TNT_scanner,no,36,9999,11,11,53,one,T,53
neg,9999,measuringcup01.jpg,2811_object_fear.jpg,4,61,green,T_neg,TNT_scanner,no,9999,61,84,48,53,one,T,54
neg,9999,mirror.jpg,2981_animal_disgust.jpg,4,55,green,T_neg,TNT_scanner,no,9999,55,78,42,53,one,T,55
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,one,None,56
neg,9999,book01b.jpg,9412_people_sad.jpg,4,52,red,NT_neg,TNT_scanner,no,9999,52,75,39,53,one,NT,57
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,4,58,red,NT_neg,TNT_scanner,no,9999,58,81,45,53,one,NT,58
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,one,None,59
neu,32,ring01.jpg,neutral_226.jpg,4,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,53,one,T,60
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,33,32,20,53,one,T,61
neu,9999,bow04.jpg,neutral_128.jpg,4,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,53,one,NT,62
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,53,one,T,63
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,red,TnegFILLER,TNT_scanner,yes,74,999,98,filler,53,one,NT,64
neu,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,NTneuFILLER,TNT_scanner,yes,9999,75,99,filler,53,two,NT,65
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,53,two,NT,66
neu,26,hat03b.jpg,neutral_017.jpg,1,9999,green,T_neu,TNT_scanner,no,26,9999,1,1,53,two,T,67
neu,9999,bow04.jpg,neutral_128.jpg,1,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,53,two,NT,68
neg,9999,hanger02a.jpg,People_077_vfear.jpg,1,59,green,T_neg,TNT_scanner,no,9999,59,82,46,53,two,T,69
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,53,two,None,70
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,1,58,green,T_neg,TNT_scanner,no,9999,58,81,45,53,two,T,71
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,1,54,green,T_neg,TNT_scanner,no,9999,54,77,41,53,two,T,72
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,53,two,None,73
neu,9999,stackingrings01a.jpg,neutral_246.jpg,1,29,red,NT_neu,TNT_scanner,no,53,9999,52,28,53,two,NT,74
neu,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,green,T_neu,TNT_scanner,no,29,9999,4,4,53,two,T,75
neg,9999,mirror.jpg,2981_animal_disgust.jpg,1,55,red,NT_neg,TNT_scanner,no,9999,55,78,42,53,two,NT,76
neg,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,27,26,14,53,two,NT,77
neg,61,wallet04.jpg,People_140_hsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,37,36,24,53,two,NT,78
neu,37,bottlecap.jpg,neutral_134.jpg,1,9999,green,T_neu,TNT_scanner,no,37,9999,12,12,53,two,T,79
neu,34,lock03a.jpg,neutral_659.jpg,1,9999,red,NT_neu,TNT_scanner,no,34,9999,9,9,53,two,NT,80
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,53,two,None,81
neu,9999,binder03b.jpg,neutral_512.jpg,2,33,green,T_neu,TNT_scanner,no,57,9999,56,32,53,two,T,82
neu,9999,pylon.jpg,neutral_065.jpg,2,26,green,T_neu,TNT_scanner,no,50,9999,49,25,53,two,T,83
neu,9999,hinge.jpg,neutral_582.jpg,2,30,red,NT_neu,TNT_scanner,no,54,9999,53,29,53,two,NT,84
neg,9999,book01b.jpg,9412_people_sad.jpg,2,52,green,T_neg,TNT_scanner,no,9999,52,75,39,53,two,T,85
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,53,two,None,86
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,35,34,22,53,two,NT,87
neg,9999,measuringcup01.jpg,2811_object_fear.jpg,2,61,green,T_neg,TNT_scanner,no,9999,61,84,48,53,two,T,88
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,28,27,15,53,two,NT,89
neu,32,ring01.jpg,neutral_226.jpg,2,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,53,two,T,90
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,33,32,20,53,two,NT,91
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,53,two,None,92
neu,9999,cup01.jpg,neutral_195.jpg,2,35,red,NT_neu,TNT_scanner,no,59,9999,58,34,53,two,NT,93
neu,36,chair.jpg,neutral_144.jpg,2,9999,red,NT_neu,TNT_scanner,no,36,9999,11,11,53,two,NT,94
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,2,56,green,T_neg,TNT_scanner,no,9999,56,79,43,53,two,T,95
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,53,two,None,96
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,26,25,13,53,two,NT,97
neg,58,globe.jpg,People_201_vsadterror.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,34,33,21,53,two,NT,98
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,two,None,99
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,3,57,green,T_neg,TNT_scanner,no,9999,57,80,44,53,two,T,100
neu,27,tuque03b.jpg,neutral_098.jpg,3,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,53,two,NT,101
neu,30,radio02.jpg,neutral_331.jpg,3,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,53,two,T,102
neg,54,box01.jpg,2900.1_people_crying.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,30,29,17,53,two,NT,103
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,3,60,green,T_neg,TNT_scanner,no,9999,60,83,47,53,two,T,104
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,two,None,105
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,3,34,red,NT_neu,TNT_scanner,no,58,9999,57,33,53,two,NT,106
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,32,31,19,53,two,T,107
neu,33,fan.jpg,neutral_706.jpg,3,9999,green,T_neu,TNT_scanner,no,33,9999,8,8,53,two,T,108
neu,9999,lifejacket.jpg,neutral_247.jpg,3,36,green,T_neu,TNT_scanner,no,60,9999,59,35,53,two,T,109
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,red,NT_neu,TNT_scanner,no,56,9999,55,31,53,two,NT,110
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,53,two,None,111
neu,28,belt02a.jpg,neutral_293.jpg,4,9999,red,NT_neu,TNT_scanner,no,28,9999,3,3,53,two,NT,112
neu,31,negativefilm.jpg,neutral_192.jpg,4,9999,green,T_neu,TNT_scanner,no,31,9999,6,6,53,two,T,113
neu,9999,battery02b.jpg,neutral_509.jpg,4,31,red,NT_neu,TNT_scanner,no,55,9999,54,30,53,two,NT,114
neg,55,safetypin.jpg,8480_people_fear.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,31,30,18,53,two,T,115
neu,9999,shirt01.jpg,neutral_007.jpg,4,28,red,NT_neu,TNT_scanner,no,52,9999,51,27,53,two,NT,116
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,4,51,red,NT_neg,TNT_scanner,no,9999,51,74,38,53,two,NT,117
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,53,two,NT,118
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,two,None,119
neg,9999,glassmop.jpg,9440_object_disgustandfear.jpg,4,53,green,T_neg,TNT_scanner,no,9999,53,76,40,53,two,T,120
neg,53,calculator01.jpg,6520_people_fear.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,29,28,16,53,two,T,121
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,two,None,122
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,4,50,red,NT_neg,TNT_scanner,no,9999,50,73,37,53,two,NT,123
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,53,two,None,124
neu,9999,birdie.jpg,neutral_614.jpg,4,37,green,T_neu,TNT_scanner,no,61,9999,60,36,53,two,T,125
neu,35,chessboard.jpg,neutral_227.jpg,4,9999,green,T_neu,TNT_scanner,no,35,9999,10,10,53,two,T,126
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,53,two,T,127
neg,75,microscope.jpg,Objects_283_hsad.jpg,,9999,green,TnegFILLER,TNT_scanner,yes,74,999,98,filler,53,two,T,128
